michael carey	13 
irvin	17 18 19 
riversid	17 18 
code	17 18 20 21 25 
250k	17 18 
line	17 18 21 22 
java	17 18 22 
co develop	17 18 
newest	17 18 
queri	17 18 19 20 24 
languag	17 18 20 21 22 
sql	17 18 
2009	17 18 
ha	17 18 21 
been	17 18 
consist	17 18 
focus	17 18 
technolog	17 18 19 20 
index	17 18 19 20 21 24 
analyz	17 18 
vast	17 18 
origin	17 18 21 
combin	17 18 
idea	17 18 19 20 
three	17 18 21 
distinct	17 18 
areas semi structur	17 18 
data intens	24 17 18 20 
a k a	17 18 
today	17 18 
e g	17 18 
friends in	17 18 
next gener	17 18 
run	17 18 21 24 25 
shared noth	17 18 
commod	17 18 
cluster	24 17 18 21 
current	17 18 
harden	17 18 
other	17 18 21 
world wid	17 18 
extend	17 18 19 20 
passiv	17 18 
wide	17 18 
rang	17 18 
cases wher	17 18 
well typ	17 18 
regular to	17 18 
content	17 18 
tend	17 18 
irregular	17 18 
much	17 18 
datum	17 18 
textual	17 18 
ultim	17 18 
schema	17 18 
variou	17 18 21 
type	17 18 21 
hard	17 18 
anticip	17 18 
up	17 18 
front	17 18 21 
issu	17 18 20 
process	17 18 19 20 24 
merg	17 18 
time test	17 18 
modern	24 17 18 
yet	17 18 
effect	17 18 
first	17 18 21 22 
fruit	17 18 
labor	17 18 
were	17 18 
mid 2013	17 18 
releas	17 18 25 
now	17 18 
move	17 18 
foundat	17 18 20 23 24 
known	17 18 
one	17 18 21 23 
non hadoop	17 18 
angl	17 18 
rather	17 18 
than	17 18 
map reduc	17 18 20 
our	17 18 21 23 
intent	17 18 
mark	17 18 
begin	17 18 
post hadoop	17 18 
era	24 17 18 19 
hope	17 18 
find	17 18 
form	17 18 
broader	17 18 
class	17 18 21 
can	17 18 21 22 
hbase	17 18 
mongodb	17 18 
so	17 18 21 
ongo	17 18 
motto	17 18 
bunch at	17 18 
least	17 18 
alway	17 18 
copyright	17 18 20 21 22 23 24 
2013 2018	17 18 20 23 24 
feather	17 18 20 23 24 
logo	17 18 20 23 24 
trademark	17 18 20 23 24 
these	17 18 20 21 23 24 
asterix publ	19 
multistag	19 
load	19 22 
publish	19 
h	19 20 
nguyen	19 
sarwar	19 
uddin	19 
n venkatasubramanian	19 
proc	19 20 
13th	19 
acm	25 19 20 
distribut	24 19 21 22 
event bas	19 
deb	19 
darmstadt	19 
germani	19 
2019	19 20 
luo	19 20 
vldb	19 20 
endow	19 20 
vol	19 20 
12	19 20 
no	19 20 
5	19 20 21 
edg	19 
cach	19 
enrich	19 20 
38th	19 
conf on	19 
vienna	19 
austria	19 
juli	19 20 
demonstr	19 
toward	19 20 
s	19 20 21 
jacob	24 19 
v	19 20 
hristidi	19 
tsotra	19 20 
y	19 20 
wu	19 
safir	19 
p	19 20 
kaul	19 
x	19 20 
wang	19 20 
qader	19 
10	19 20 
compar	24 19 
secondari	19 
mohiuddin	19 
abdul	19 
shiwen	19 
cheng	19 
vage	19 
dualdb	19 
ssdbm	19 
high throughput	19 
top	19 
dapd	19 
journal	19 
vision	24 19 
10th	19 
event	19 
16	19 
setti	19 
zhao	19 
r	19 20 21 
vitenberg	19 
systems icdc	19 
grover	24 19 20 
alsubaie	24 19 20 
altowim	19 20 
altwaijri	19 20 
behm	24 19 20 
borkar	24 19 20 
bu	24 19 20 
i	19 20 22 
cetindil	19 20 
cheelangi	24 19 20 
k	19 20 
faraaz	24 19 20 
e	19 20 
gabrielova	19 20 
z	19 20 
heilbron	19 20 
y 	19 20 
kim	24 19 20 
g	24 19 20 
ok	19 20 
onos	19 20 
pirzadeh	24 19 20 
wen	19 20 
t	19 20 
westmann	19 20 
7	19 20 21 
2014	24 19 20 
smartsourc	19 
q a	19 
middlewar	19 
power	19 
crowdsourc	19 
liao	19 
lin	24 19 
j yin	19 
do	19 21 22 
hsu	19 
16th	19 
mdm	19 
lsm	19 20 
old	19 20 
benefit	19 20 
2nd	19 20 
workshop	19 20 
mine	19 20 
geo spati	19 20 
melbourn	19 20 
florida 2015	19 
fault toler	24 19 
r grover	19 
ph d	19 
thesi	24 19 
mid flight	20 
build	20 21 
academia	20 
35th	20 
engin	24 20 
icd	20 
macau	20 
china	20 
11	20 
ouaknin	20 
benchmark	20 
tune	20 
optim	24 20 
applic	20 21 22 
bpod	20 
boston	20 
ma	20 
drum	20 
rhythmic	20 
interact	24 20 
jianfeng	24 20 
jia	24 20 
bigdata	20 
large scal	20 
complex	20 
demo	20 
w	20 
alkowaileet	20 
algebrick	20 
model agnost	20 
compil	20 
backend	20 
carman	20 
symp	20 
cloud	20 
kohala	20 
coast	20 
extern	24 20 
access	24 20 
alamoudi	24 20 
knowledg	20 
australia	20 
bigfun	20 
function	20 21 
santa	20 
clara	20 
october novemb	20 
xqueri	20 
processor	20 
pigmix	20 
hpcc	20 
kirkpatrick	20 
congress	20 
short	20 
track	20 
york	20 
brussel	20 
belgium	20 
pregelix	20 
big ger	20 
dataflow	20 
condi	20 
8	20 
14	20 
dresel	20 
bloat awar	20 
design	24 20 
yingyi	24 20 
vinayak	24 20 
guoq	20 
xu	20 
proceed	20 
2013	24 20 
sigplan	20 
ismm	20 
seattl	20 
20 21	20 
common	20 
motiv	20 
bulletin	20 
36	20 
machin	20 
learn	20 
joshua	20 
rosen	20 
neokli	20 
polyzoti	20 
tyson	20 
marku	20 
weimer	20 
raghu	20 
ramakrishnan	20 
volum	20 
35	20 
2012	24 20 
practic	20 
pitfal	20 
possibl	20 
topic	20 
4th	20 
tpc	20 
tpctc	20 
istanbul	20 
turkey	20 
august	20 
27	20 
sattam	24 20 
yasser	20 
hotham	20 
alexand	24 20 
raman	24 20 
zachari	20 
young seok	24 20 
nicola	20 
pouria	24 20 
jian	20 
pvldb	20 
what	20 22 
crossroad	20 
19 1	20 
44 49	20 
warehouse styl	20 
iiweb	20 
co loc	20 
ogr	20 
onion	20 
or	20 21 22 23 
parfait	20 
edbt	20 
predicate bas	20 
sampl	20 21 
semistructur	20 
evolving world	20 
model	20 
alin	20 
deutsch	20 
yanni	20 
papakonstantin	20 
vassili	20 
distrib	20 
29	20 
3	25 20 21 22 
185 216	20 
onlin	20 
aggreg	20 21 
job	20 21 
niketan	20 
pansar	20 
chri	20 
jermain	20 
recurs	20 
foto	20 
afrati	20 
jeffrey	20 
d	20 21 
ullman	20 
answer	20 
approxim	20 
string	20 22 
hyrack	24 20 
flexibl	20 
rares vernica	25 21 22 
table of cont	25 21 22 
1 copyright	21 22 
2 overview	21 
3 quick start	21 
4 configur	21 
5 directory structure and task	21 
6 dataset	21 
7 source code overview	21 
3 1 build	21 
3 2 self join	21 
3 3 r s join	21 
3 2 1 upload raw data	21 
3 2 2 generate record	21 
3 2 3 balance records across nod	21 
3 2 4 run set similarity self join	21 
3 3 1 upload raw data	21 
3 3 2 generate record	21 
3 3 3 balance records across nod	21 
3 3 4 run set similarity join	21 
author	25 21 22 
ics uci edu	25 21 22 
2010 2011	21 22 
regent	21 22 
licens	21 22 
under	21 22 
2 0	21 22 
you	21 22 
file	21 22 
except	21 22 
complianc	21 22 
obtain	21 22 
copi	21 22 
http www apache org licenses license 2 0	21 22 
unless	21 22 
law	21 22 
agre	21 22 
write	21 22 
without	21 22 
warranti	21 22 
ani	21 22 
kind	21 22 
either	21 22 
express	21 22 
impli	21 22 
see	21 22 
specif	21 22 
govern	21 22 
permiss	21 22 
limit	21 22 
guid	21 
describ	21 
onli	21 
full fledg	21 
single nod	21 
pseudo distribut	21 
instal	21 
enough	21 
more	21 22 23 
detail	21 22 
start	21 
pleas	21 22 
http hadoop apache org common docs current quickstart html	21 
0 17	21 
higher	21 
here	21 
small	21 
entri	21 
titl	21 
attribut	21 
jaccard	21 
0 5	21 
threshold	21 
dblp small raw txt	21 
contain	21 
per	21 
field	21 22 
separ	21 
id	21 
concaten	21 
")	21 
").	21 
assign	21 
uniqu	21 22 
record id	21 
rid	21 
integ	21 
append	21 
after	21 
five	21 
skip	21 
stage	21 22 
fuzzi	21 
token	21 22 
kernel	21 22 
ridpair	21 
recordpair	21 
basic	21 
altern	21 
total	21 
